CENTRO;Nombre;Apellido1;Apellido2;DNI/NIF;DETALLE_MATERIAS
C.D.P. MARAVILLAS;Julieta;De Aguilar;Gaytán;40837777H;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Latín II, Griego II, Historia de la Filosofía, Historia del Arte
C.D.P. MARÍA INMACULADA;Noa;Cuervo;Marcías;84227848B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. MARÍA INMACULADA;Alicia;Icaza;Céspedes;21602079Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Historia del Arte
C.D.P. MARÍA INMACULADA;Mario;Molleda;Moscoa;64018312X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Química
C.D.P. MARÍA INMACULADA;Vega;Fernández;Casas;29805068F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. MARÍA INMACULADA;Luna;Noble;Fábregas;44850234N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. MEDAC MALASAÑA;Zoe;Huerta;Aguilar;28129855W;Economía de la Empresa, Geografía
C.D.P. MEDAC MALASAÑA;Alicia;Zamora;Puente;79356497V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. MEDAC MALASAÑA;Julieta;Galán;Sedano;67953524N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.D.P. MEDAC MALASAÑA;Fernando;Ureña;Novales;93768572S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II
C.D.P. MEDAC MALASAÑA;Alberto;Portillo;De Aguilar;85439136O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. MEDAC NOVA;Mateo;Góngora;Saldaña;47596344X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía, Historia de la Filosofía
C.D.P. MEDAC NOVA;Triana;Tames;Salazar;K9872723X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Dibujo Técnico II, Física, Matemáticas II
C.D.P. MEDAC NOVA;Aleix;Oseda;Nieto;48788468S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. MEDAC NOVA;Blanca;Cabeza;Villas;18702736F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. MEDAC NOVA;Ander;Gómez;Nieto;49737531X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Diseño, Historia de la Filosofía, Historia del Arte
C.D.P. MEDAC SAN RAFAEL;Luis;Trejos;Rosas;20457599F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. MEDAC SAN RAFAEL;Pablo;Rovira;Gayoso;89983806X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.D.P. MEDAC SAN RAFAEL;Iker;Bautista;Varga;72367130N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Diseño, Historia de la Filosofía
C.D.P. MEDAC SAN RAFAEL;Marcos;Montero;Munera;76804921P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. MEDAC SAN RAFAEL;Matias;Pastrana;Farías;62378518U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. NOVASCHOOL AÑORETA;Bruno;Hierro;Bastida;44427575D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Historia del Arte
C.D.P. NOVASCHOOL AÑORETA;Guillermo;García;Montalbán;67555437T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. NOVASCHOOL AÑORETA;Laia;Parado;Mijares;81294448F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. NOVASCHOOL AÑORETA;Carlota;Reyes;Hierro;12169380O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. NOVASCHOOL AÑORETA;Nour;Lagunal;Rivera;18635685E;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Adriana;Velásquez;Valdiva;31500686T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Rayan;Alayón;Tames;C5053525I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Ana;Hurtado;Villas;29160504A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Historia de la Filosofía
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Mateo;Vela;Borges;30878038Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. NUESTRA SEÑORA DE LA VICTORIA;Blanca;Tedesco;Lucas;73325700I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Griego II
C.D.P. NUESTRA SEÑORA DE LOURDES;Ismael;Hierro;Ramos;10641068Z;Química
C.D.P. NUESTRA SEÑORA DE LOURDES;Aina;Rangel;Escalante;W4685767C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Física, Matemáticas II
C.D.P. NUESTRA SEÑORA DE LOURDES;Max;Becerra;Camareno;34469489H;Matemáticas Aplicadas a las CCSS, Matemáticas II
C.D.P. NUESTRA SEÑORA DE LOURDES;Ainara;Cornejo;Romero;48779957P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II
C.D.P. NUESTRA SEÑORA DE LOURDES;Maia;Esquivel;Pantoja;20678444K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. PATROCINIO SAN JOSÉ;Carla;Fierro;Macías;68543652M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Matemáticas Aplicadas a las CCSS, Química
C.D.P. PATROCINIO SAN JOSÉ;Izan;Vivero;Verti;24360753U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Diseño
C.D.P. PATROCINIO SAN JOSÉ;Olivia;Granados;Triguero;11297328W;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Historia del Arte
C.D.P. PATROCINIO SAN JOSÉ;Alan;Pastor;Funez;71186200L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Historia de la Filosofía
C.D.P. PATROCINIO SAN JOSÉ;Ismael;Alfaro;Soza;P3711293N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía, Historia del Arte
C.D.P. PUERTOSOL;Nico;Perdomo;Soza;V6065942F;Química
C.D.P. PUERTOSOL;Jorge;Báez;Jurado;52738617G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.D.P. PUERTOSOL;Nil;Savala;Tablada;20691850B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II
C.D.P. PUERTOSOL;Pedro;Paz;Becerril;89945179L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. PUERTOSOL;Iris;Trujillo;Castellanos;75589545Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS
C.D.P. SAGRADO CORAZÓN;Elia;Portillo;Paz;81908951H;Dibujo Técnico II
C.D.P. SAGRADO CORAZÓN;Andrea;Bastida;Farías;69238589E;Biología, Química
C.D.P. SAGRADO CORAZÓN;Jose;Arriaga;Lobo;Y8123539I;Economía de la Empresa, Matemáticas Aplicadas a las CCSS
C.D.P. SAGRADO CORAZÓN;Claudia;Magallón;Lamas;38580642I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAGRADO CORAZÓN;Ines;Barrera;Galán;39856385G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SALLIVER;Guillermo;Varela;Sagel;47679003Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. SALLIVER;Leo;Ferrer;Sotelo;27409646I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SALLIVER;Arlet;Caldera;Agustín;22842190R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SALLIVER;Martina;Murillo;Paladino;72258367L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II
C.D.P. SALLIVER;Camila;Gillén;Frías;90973891G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
C.D.P. SAN BARTOLOMÉ;Fernando;Perdomo;Rosas;53254235G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología
C.D.P. SAN BARTOLOMÉ;David;Rubín;Fraga;60553366S;Biología, Química
C.D.P. SAN BARTOLOMÉ;Gabriela;Ventura;Machado;45230541S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN BARTOLOMÉ;Liam;Medina;Sagel;36820955V;Biología, Química
C.D.P. SAN BARTOLOMÉ;Aina;Escobar;Peralta;23428061H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN ESTANISLAO DE KOSTKA;Rodrigo;Galán;Sandino;31541450O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. SAN ESTANISLAO DE KOSTKA;Ona;Jara;Godines;37316514G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Economía de la Empresa, Matemáticas Aplicadas a las CCSS
C.D.P. SAN ESTANISLAO DE KOSTKA;Fabio;Cervantes;Escoto;62043364O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SAN ESTANISLAO DE KOSTKA;Ismael;Portillo;Alcocer;77634549N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN ESTANISLAO DE KOSTKA;Mar;Maurer;Del Castillo;65080145Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. SAN FRANCISCO DE ASÍS;Daniel;Pardo;Cepeda;L9591652E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa, Historia de la Filosofía
C.D.P. SAN FRANCISCO DE ASÍS;Antonio;Frías;Caldera;51571882G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN FRANCISCO DE ASÍS;Noa;Silva;Vales;A9313840O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
C.D.P. SAN FRANCISCO DE ASÍS;Andres;Quijano;Munera;89256543X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Química
C.D.P. SAN FRANCISCO DE ASÍS;Manuel;Lagos;Villallovos;27225374C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Lina;Fábregas;Mejía;G9941071B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Ruben;Milanés;Falcón;71883041S;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Elias;Padilla;Fuentes;45376916H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía, Historia del Arte
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Ariadna;Busto;Cuervo;X2911963U;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Química
C.D.P. SAN FRANCISCO JAVIER - LA SALLE VIRLECHA;Pau;Jurado;Tedesco;R8687889X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. SAN JOSÉ;Isabella;Peraza;Olivares;X7464534X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SAN JOSÉ;Thiago;Vidal;Alarcón;33231784P;Biología
C.D.P. SAN JOSÉ;Alex;Carvallo;0;V5486716J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN JOSÉ;Chloe;De la Rosa;Rovira;70538987I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia del Arte
C.D.P. SAN JOSÉ;Max;Dueñas;Gallegos;21541061B;Biología, Química
C.D.P. SAN JOSÉ (CAMPILLOS);Antonio;Pena;Villallovos;25599734Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SAN JOSÉ (CAMPILLOS);Carlos;Falcón;Novo;24980742C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SAN JOSÉ (CAMPILLOS);Jorge;Manuel;Valentín;77580601A;Biología, Química
C.D.P. SAN JOSÉ (CAMPILLOS);Bruno;Chávez;Alcocer;19632554Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II, Historia de la Filosofía
C.D.P. SAN JOSÉ (CAMPILLOS);Luca;Morillo;Peralta;M4390298A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA MADRE SACRAMENTO;Maia;Pantoja;Obregón;11852965L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA MADRE SACRAMENTO;Unai;Domínguez;Montalvo;48320767Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SANTA MADRE SACRAMENTO;Olivia;Villaseñor;Quevedo;66345520F;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA MADRE SACRAMENTO;Sara;Ibáñez;Altamirano;94436109I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SANTA MADRE SACRAMENTO;Ian;Fábregas;Grijalba;14142618K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Aitana;Guerrero;Venegas;54195733Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Griego II
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Ainara;Ulloa;Bernal;41796874X;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Max;Pineda;Godines;67203518M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Diana;Meza;Domínguez;D9679919G;Economía de la Empresa
C.D.P. SANTA MARÍA DE LOS ÁNGELES;Enzo;Villeda;Pedroza;46136587M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. SANTA ROSA DE LIMA;Iria;Sáenz;Ureña;35452815M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. SANTA ROSA DE LIMA;Violeta;Quintana;Vívez;49710885M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTA ROSA DE LIMA;Iker;Morillo;Núñez;36887909X;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II
C.D.P. SANTA ROSA DE LIMA;Adrian;Zapata;Novoa;21269822P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia del Arte
C.D.P. SANTA ROSA DE LIMA;Ivan;Uribe;0;83994368E;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física, Matemáticas Aplicadas a las CCSS
C.D.P. SANTÍSIMA TRINIDAD;Lara;Lázaro;Izquierdo;G2550084S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Geografía, Griego II
C.D.P. SANTÍSIMA TRINIDAD;Nahia;Novales;Carvajal;73299916V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. SANTÍSIMA TRINIDAD;Elia;Quijada;Bolaños;85031952D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Matemáticas II
C.D.P. SANTÍSIMA TRINIDAD;Matias;Magallón;Talavera;S1076071Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SANTÍSIMA TRINIDAD;Aaron;Vivero;Molleda;L7190061S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Matemáticas II, Química
C.D.P. SIERRA BLANCA;Laia;Novales;Navarrete;33575789T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. SIERRA BLANCA;Marta;Sol;Gallegos;Z9200348U;Historia del Arte
C.D.P. SIERRA BLANCA;Aleix;Ferreira;Salmón;X2048117U;Francés (Fase de Admisión)
C.D.P. SIERRA BLANCA;Isabella;Valenzuela;Alfaro;63432495N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. SIERRA BLANCA;Unai;Ayala;Segura;96365208Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología
C.D.P. UNAMUNO;Valentina;Álvarez;Ordóñez;39317377I;Biología, Química
C.D.P. UNAMUNO;Marc;Olivar;Ordóñez;69954872H;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.D.P. UNAMUNO;Camila;Torrente;Lagunal;88902829D;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Matemáticas Aplicadas a las CCSS, Geografía
C.D.P. UNAMUNO;Nora;Sotomayor;Lira;79322637Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. UNAMUNO;Jan;Parra;Sardinas;D8952006T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P.CENTRO DE ESTUDIOS OPTIMA;Sergio;Jurado;Campos;42233003Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P.CENTRO DE ESTUDIOS OPTIMA;David;De la Fuente;Cardoso;86530991B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física, Química
C.D.P.CENTRO DE ESTUDIOS OPTIMA;Violeta;Castañeda;Naranjo;28569073P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P.CENTRO DE ESTUDIOS OPTIMA;Helena;Barrientos;Borges;51860430T;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P.CESUR;Marta;Samper;Meza;99147305S;Biología, Química
C.D.P.CESUR;Fabio;Reyes;Reyes;55035272J;Economía de la Empresa, Matemáticas Aplicadas a las CCSS
C.E. DR. ARDUÁN FORMACIÓN;Jesus;Guerrero;Ortiz;97825188K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.E. THE BRITISH SCHOOL OF MÁLAGA;Nil;Cabeza;Cabeza;73856937Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Historia de la Filosofía
C.E. THE BRITISH SCHOOL OF MÁLAGA;Eric;Guillén;Obellón;14012038B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia del Arte
C.E. THE BRITISH SCHOOL OF MÁLAGA;Nil;Meza;Molleda;34320815Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.E. THE BRITISH SCHOOL OF MÁLAGA;Asier;Trejos;Sánchez;52890859A;Inglés (Fase de Admisión), Historia de la Filosofía
C.E. THE BRITISH SCHOOL OF MÁLAGA;Oliver;Cuervo;Castellanos;93472502X;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Biología, Química
CDP CENTRO DE FORMACIÓN PROFESIONAL LEON XIII;Gabriela;Barrientos;Zabaleta;H5995958B;Historia de la Filosofía, Matemáticas Aplicadas a las CCSS
CDP CENTRO DE FORMACIÓN PROFESIONAL LEON XIII;Ruben;Morillo;Torre;62631917Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
CDP CENTRO DE FORMACIÓN PROFESIONAL LEON XIII;Marta;Segura;Zamora;W7930041G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia del Arte
CDP MEDAC VELÁZQUEZ II;Mohamed;Cabeza;Rueda;90565283A;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
CDP MEDAC VELÁZQUEZ II;Isabel;Agustín;Leyva;O9065757S;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Biología, Química
CDP MEDAC VELÁZQUEZ II;Mar;Ruiz;Pantoja;60748956C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
CDP MEDAC VELÁZQUEZ II;Liam;Ponce;Varga;72983437S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
CDP MEDAC VELÁZQUEZ II;Pablo;Dorado;Lorio;56837163Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
COLEGIO BILINGÜE LA LATINA;Aitana;Velarde;Ruiz;I8687316I;Geografía, Historia de la Filosofía
COLEGIO BILINGÜE LA LATINA;Pablo;Fraga;Treminio;66140367O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
COLEGIO BILINGÜE LA LATINA;Francisco;Valencia;Zamora;J6430379R;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
COLEGIO BILINGÜE LA LATINA;Aina;Linares;Rubín;25330076Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Matemáticas II, Química
COLEGIO BILINGÜE LA LATINA;Noa;Moscoa;Galeano;16734614Z;Economía de la Empresa, Geografía
E.A. SAN TELMO;Irene;Vívez;Darío;31712696V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Economía de la Empresa
E.A. SAN TELMO;Alvaro;Plácido;Gallegos;L6114170C;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
E.A. SAN TELMO;Francisco;Medina;Ortega;94847791I;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
E.A. SAN TELMO;Asier;Tablada;Usaga;V1496359J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Francés (Fase de Admisión), Latín II, Griego II
E.A. SAN TELMO;Jan;Lobo;Ayala;33116504L;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Física
I.E.S. AL-BAYTAR;Valentina;Uriarte;Oseda;72056428P;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. AL-BAYTAR;Luka;Noble;Trejos;48069119N;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
I.E.S. AL-BAYTAR;Fernando;Pineda;Martí;72031226Y;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
I.E.S. AL-BAYTAR;Clara;Junco;Quiroga;G2775353M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
